date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:50	122/122	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Oct%202025%2017:56:50%20GMT	https://digitalbancodebogotaco.onrender.com/robots.txt		(from )
12:56:50	63415/63415	---MCZ	200	added ('OK')	text/html	etag:W/%2268e08cb2-f7b7%22	https://digitalbancodebogotaco.onrender.com/	C:/Mis%20lugares%20Web/bogota%202/digitalbancodebogotaco.onrender.com/index.html	(from )
12:56:50	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2268e08cb2-47e%22	https://digitalbancodebogotaco.onrender.com/img/favicon.ico	C:/Mis%20lugares%20Web/bogota%202/digitalbancodebogotaco.onrender.com/img/favicon.ico	(from https://digitalbancodebogotaco.onrender.com/)
12:56:51	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268e08cb2-15283%22	https://digitalbancodebogotaco.onrender.com/js/jquery-3.2.1.min.js	C:/Mis%20lugares%20Web/bogota%202/digitalbancodebogotaco.onrender.com/js/jquery-3.2.1.min.js	(from https://digitalbancodebogotaco.onrender.com/)
12:56:51	39789/39789	---MCZ	200	added ('OK')	text/css	etag:W/%2268e08cb2-9b6d%22	https://digitalbancodebogotaco.onrender.com/css/style.css	C:/Mis%20lugares%20Web/bogota%202/digitalbancodebogotaco.onrender.com/css/style.css	(from https://digitalbancodebogotaco.onrender.com/)
12:56:52	2842/2842	---MCZ	200	added ('OK')	text/css	etag:W/%2268e08cb2-b1a%22	https://digitalbancodebogotaco.onrender.com/css/3433.css	C:/Mis%20lugares%20Web/bogota%202/digitalbancodebogotaco.onrender.com/css/3433.css	(from https://digitalbancodebogotaco.onrender.com/)
12:56:52	112851/112851	---MCZ	200	added ('OK')	text/css	etag:W/%2268e08cb2-1b8d3%22	https://digitalbancodebogotaco.onrender.com/css/7485.css	C:/Mis%20lugares%20Web/bogota%202/digitalbancodebogotaco.onrender.com/css/7485.css	(from https://digitalbancodebogotaco.onrender.com/)
12:56:53	6582/6582	---MCZ	200	added ('OK')	text/css	etag:W/%2268e08cb2-19b6%22	https://digitalbancodebogotaco.onrender.com/css/3810.css	C:/Mis%20lugares%20Web/bogota%202/digitalbancodebogotaco.onrender.com/css/3810.css	(from https://digitalbancodebogotaco.onrender.com/)
12:56:53	7954/7954	---MCZ	200	added ('OK')	text/css	etag:W/%2268e08cb2-1f12%22	https://digitalbancodebogotaco.onrender.com/css/1538.css	C:/Mis%20lugares%20Web/bogota%202/digitalbancodebogotaco.onrender.com/css/1538.css	(from https://digitalbancodebogotaco.onrender.com/)
12:56:55	3770/3770	---MCZ	200	added ('OK')	text/html	etag:W/%22fe80481a8292573b1564d68f945e9391%22	https://virtual.bancodebogota.co/bbog-pb-frontend-authentication-app/assets/422e00391dd36d89affe.png	C:/Mis%20lugares%20Web/bogota%202/virtual.bancodebogota.co/bbog-pb-frontend-authentication-app/assets/422e00391dd36d89affe.html	(from https://digitalbancodebogotaco.onrender.com/)
12:56:55	23938/23938	---M--	200	added ('OK')	image/png	etag:%2268e08cb2-5d82%22	https://digitalbancodebogotaco.onrender.com/img/hola.png	C:/Mis%20lugares%20Web/bogota%202/digitalbancodebogotaco.onrender.com/img/hola.png	(from https://digitalbancodebogotaco.onrender.com/)
